Name;Bayesian Average;Original Rating;Number of Reviews;Price per Gram;Type;Link;Final Score
Amber Mountain;87.05771784359919;87.0;495.0;0.38;Yellow;https://meileaf.com/p/tea-ammc/;31.139489860898724
Asamiya Black;84.39893058059889;84.0;164.0;0.16;Black;https://meileaf.com/p/tea-asac/;31.08302185085665
Jasmine Jade Oolong;83.48504513931182;83.0;161.0;0.12;Oolong;https://meileaf.com/p/tea-jjoc/;31.053975364816974
Orchard Stream;87.62675106090353;87.0;33.0;0.53;Oolong;https://meileaf.com/p/tea-sprcc/;31.003995992182716
Osmanthus Oolong;83.23833900129904;83.0;342.0;0.14;Blend;https://meileaf.com/p/tea-osmc/;30.81432285299452
Bamboo Sabre - Pre Qing Ming;88.20443970694463;88.0;62.0;0.85;Green;https://meileaf.com/p/tea-zyqc/;30.73184827736696
Day Drinking Diva;85.4500426681578;85.0;113.0;0.33;Raw Puerh;https://meileaf.com/p/tea-davc/;30.72339070160192
White Blossom;83.94011788277824;82.0;37.0;0.2;Blend;https://meileaf.com/p/tea-floc/;30.7008659355927
Baby Leaf Kuding;82.13834474378677;81.0;85.0;0.13;Tisanes;https://meileaf.com/p/tea-wbtc/;30.507201866034862
Melon Seed Green;84.18777872842401;84.0;364.0;0.31;Green;https://meileaf.com/p/tea-lagc/;30.34844371310877
Almond Blossom;83.4180966231297;83.0;189.0;0.45;Oolong;https://meileaf.com/p/tea-almc/;29.7090169372175
Big Leaf Kuding;78.89040092443703;77.0;75.0;0.25;Tisanes;https://meileaf.com/p/tea-blkc/;28.727623848128513
